area_id,weight,weight_perc2.5,weight_perc25,weight_perc50,weight_perc75,weight_perc97.5,weight_std,weight_ci95,volume,volume_perc2.5,volume_perc25,volume_perc50,volume_perc75,volume_perc97.5,volume_std,volume_ci95,fat,fat_perc2.5,fat_perc25,fat_perc50,fat_perc75,fat_perc97.5,fat_std,fat_ci95,saturate,saturate_perc2.5,saturate_perc25,saturate_perc50,saturate_perc75,saturate_perc97.5,saturate_std,saturate_ci95,salt,salt_perc2.5,salt_perc25,salt_perc50,salt_perc75,salt_perc97.5,salt_std,salt_ci95,sugar,sugar_perc2.5,sugar_perc25,sugar_perc50,sugar_perc75,sugar_perc97.5,sugar_std,sugar_ci95,protein,protein_perc2.5,protein_perc25,protein_perc50,protein_perc75,protein_perc97.5,protein_std,protein_ci95,carb,carb_perc2.5,carb_perc25,carb_perc50,carb_perc75,carb_perc97.5,carb_std,carb_ci95,fibre,fibre_perc2.5,fibre_perc25,fibre_perc50,fibre_perc75,fibre_perc97.5,fibre_std,fibre_ci95,alcohol,alcohol_perc2.5,alcohol_perc25,alcohol_perc50,alcohol_perc75,alcohol_perc97.5,alcohol_std,alcohol_ci95,energy_fat,energy_fat_perc2.5,energy_fat_perc25,energy_fat_perc50,energy_fat_perc75,energy_fat_perc97.5,energy_fat_std,energy_fat_ci95,energy_saturate,energy_saturate_perc2.5,energy_saturate_perc25,energy_saturate_perc50,energy_saturate_perc75,energy_saturate_perc97.5,energy_saturate_std,energy_saturate_ci95,energy_sugar,energy_sugar_perc2.5,energy_sugar_perc25,energy_sugar_perc50,energy_sugar_perc75,energy_sugar_perc97.5,energy_sugar_std,energy_sugar_ci95,energy_protein,energy_protein_perc2.5,energy_protein_perc25,energy_protein_perc50,energy_protein_perc75,energy_protein_perc97.5,energy_protein_std,energy_protein_ci95,energy_carb,energy_carb_perc2.5,energy_carb_perc25,energy_carb_perc50,energy_carb_perc75,energy_carb_perc97.5,energy_carb_std,energy_carb_ci95,energy_fibre,energy_fibre_perc2.5,energy_fibre_perc25,energy_fibre_perc50,energy_fibre_perc75,energy_fibre_perc97.5,energy_fibre_std,energy_fibre_ci95,energy_alcohol,energy_alcohol_perc2.5,energy_alcohol_perc25,energy_alcohol_perc50,energy_alcohol_perc75,energy_alcohol_perc97.5,energy_alcohol_std,energy_alcohol_ci95,energy_tot,energy_tot_perc2.5,energy_tot_perc25,energy_tot_perc50,energy_tot_perc75,energy_tot_perc97.5,energy_tot_std,energy_tot_ci95,f_energy_fat,f_energy_saturate,f_energy_sugar,f_energy_protein,f_energy_carb,f_energy_fibre,f_energy_alcohol,energy_density,h_nutrients_weight,h_nutrients_weight_norm,h_nutrients_calories,h_nutrients_calories_norm,f_beer,f_dairy,f_eggs,f_fats_oils,f_fish,f_fruit_veg,f_grains,f_meat_red,f_poultry,f_readymade,f_sauces,f_soft_drinks,f_spirits,f_sweets,f_tea_coffee,f_water,f_wine,f_dairy_weight,f_eggs_weight,f_fats_oils_weight,f_fish_weight,f_fruit_veg_weight,f_grains_weight,f_meat_red_weight,f_poultry_weight,f_readymade_weight,f_sauces_weight,f_sweets_weight,h_items,h_items_norm,h_items_weight,h_items_weight_norm,representativeness_norm,transaction_days,num_transactions,man_day,population,male,female,age_0_17,age_18_64,age_65+,avg_age,area_sq_km,people_per_sq_km
E05000026,461.6511907,32.5,171,300,500,2000,764.9110451,12.78632997,125.7377114,11,47.1,100,200,340.8,109.6284659,3.734952234,9.928833101,0,0.2,2.5,14.6,57.825,16.02441983,0.210580575,3.881421945,0,0.1,0.8,4.4,21.4,7.378855295,0.096967229,0.600573934,0,0.01,0.2,0.8,2.3,1.876782456,0.024663229,10.75424911,0,1.3,4.2,11.8,59.085,16.39309982,0.215425484,4.922944217,0,0.4,2.6,7.6,23.5,6.181041093,0.081226478,19.58304266,0,0.3,8.3,34.9,73.5,24.05204672,0.316073461,1.572561694,0,0,1,2.2,7.2,2.323762621,0.030537097,0.139173575,0,0,0,0,0,1.286958126,0.016912212,89.35949791,0,1.8,22.5,131.4,520.425,144.2197785,1.895225179,34.9327975,0,0.9,7.2,39.6,192.6,66.40969765,0.872705065,43.01699645,0,5.2,16.8,47.2,236.34,65.57239928,0.861701935,19.69177687,0,1.6,10.4,30.4,94,24.72416437,0.324905913,78.33217063,0,1.2,33.2,139.6,294,96.20818687,1.264293844,2.874853239,0,0,1.6,4.2,14.17,4.364365242,0.057353124,0.974215027,0,0,0,0,0,9.008706881,0.118385483,191.2325137,0,41.2,121,309.1,624.5,186.4223422,2.449818747,0.467281929,0.182671852,0.224946039,0.102972954,0.409617429,0.015033287,0.005094401,0.414235937,1.610484831,0.693598064,1.507906176,0.649419842,0.009393912,0.099494174,0.011110107,0.038072442,0.018787824,0.256480896,0.154954385,0.041730648,0.018697498,0.06020233,0.009348749,0.046246951,0.001942011,0.176993948,0.004516304,0.043627495,0.008400325,0.053413554,0.029689242,0.033731649,0.017131743,0.352302532,0.274976515,0.042056754,0.04172487,0.044325842,0.009424689,0.10122261,3.234861894,0.791410716,2.664951341,0.770343696,0.154964106,30,33501,3141,14370,7469,6901,4211,9421,738,29.5729993,1.26,11404.7619
E05000027,414.8205096,32.5,150,300,500,1500,563.8330499,16.00142253,101.6247743,11,33,75,132,340.8,96.45986575,5.994807482,9.275439497,0,0.2,2.3,14,48,14.29765512,0.324086873,3.51037866,0,0.1,0.8,4.1,20,6.173576953,0.1399373,0.549076625,0,0.02,0.2,0.8,2.3,1.381213971,0.031308163,10.40954566,0,1.1,4,11.8,57.61,16.27368911,0.368877901,5.302160717,0,0.4,2.8,7.8,23,6.523379487,0.147866321,18.73532558,0,0.1,7.9,27.3,74,23.65311309,0.536148298,1.548148148,0,0,1,2.2,7.8,2.305675517,0.052263057,0.202601832,0,0,0,0,0,1.754784101,0.039775927,83.47895548,0,1.8,20.7,126,432,128.6788961,2.916781858,31.59340794,0,0.9,7.2,36.9,180,55.56219258,1.259435697,41.63818264,0,4.4,16,47.2,230.44,65.09475642,1.475511605,21.20864287,0,1.6,11.2,31.2,92,26.09351795,0.591465283,74.94130231,0,0.4,31.6,109.2,296,94.61245236,2.144593192,2.815269421,0,0,1.6,4.2,14.8,4.375893387,0.099188964,1.418212823,0,0,0,0,0,12.28348871,0.278431492,183.8623829,0,41,119.9,288,563.4,176.9971906,4.012019143,0.454029553,0.17183182,0.226463848,0.115350636,0.407594534,0.015311829,0.007713447,0.443233588,1.644462161,0.708231303,1.550830437,0.667906315,0.012347336,0.095020803,0.009931553,0.026707824,0.033955174,0.264796672,0.140383841,0.045765669,0.018789424,0.072205073,0.010199973,0.03865253,0.005368407,0.169775869,0.005636827,0.044826198,0.005636827,0.061835627,0.027534294,0.031797373,0.024375439,0.370236422,0.219961317,0.047808111,0.043320928,0.058878873,0.011198604,0.103053014,3.27147381,0.800367841,2.748000294,0.794350228,0.052708374,30,11053,1189,10845,5228,5617,3205,6608,1032,33.56800369,1.36,7974.264706
E05000028,419.3076097,32.5,166.1,300,500,1500,601.8271785,10.34399815,113.2529028,10.9375,37.6,90,175,340.8,101.0411154,3.773961428,9.376874774,0,0.2,2.4,14,50.5,15.00521582,0.205383195,3.677454089,0,0.1,0.8,4.2,20.535,6.859033642,0.093882705,0.597570829,0,0.03,0.2,0.8,2.3,1.891684466,0.025892343,10.66279295,0,1.3,4.1,11.8,58.7,16.40753426,0.224577364,5.166411957,0,0.4,2.9,8,23,6.222212033,0.085166239,19.34627591,0,0.3,8.9,30.6,73.135,23.44483947,0.320900153,1.572011508,0,0,1,2.3,7.3,2.360222526,0.032305436,0.18965577,0,0,0,0,0,1.809302445,0.024764743,84.39187297,0,1.8,21.6,126,454.5,135.0469424,1.848448759,33.0970868,0,0.9,7.2,37.8,184.815,61.73130278,0.844944343,42.65117179,0,5.2,16.4,47.2,234.8,65.63013706,0.898309456,20.66564783,0,1.6,11.6,32,92,24.88884813,0.340664954,77.38510362,0,1.2,35.6,122.4,292.54,93.77935786,1.28360061,2.907251183,0,0,1.6,4.4,14,4.505879163,0.061674012,1.327590392,0,0,0,0,0,12.66511712,0.173353203,186.677466,0,41.7,126,285.3,585.76,178.4054999,2.441917004,0.452073165,0.177295565,0.228475202,0.110702423,0.414539073,0.015573659,0.00711168,0.445204098,1.627931741,0.701112039,1.540199457,0.663327801,0.006960102,0.101901774,0.011371434,0.032888932,0.01990001,0.242721302,0.158464856,0.049014802,0.019850995,0.061905696,0.013969219,0.036810117,0.00254877,0.178315851,0.005146554,0.048818743,0.009410842,0.063907368,0.031424723,0.030302834,0.018488194,0.340190812,0.246683855,0.051722118,0.050928839,0.050778195,0.014058419,0.101514644,3.266558377,0.799165278,2.77667872,0.802640152,0.136577291,30,30970,2794,13856,6750,7106,4180,8537,1139,32.03269342,1.29,10741.08527
E05000029,398.5314225,30,150,250,500,1500,633.1648824,18.33200329,121.253271,11,44,90,175,340.8,114.6761169,6.878934521,10.06014331,0,0.2,2.4,16.5,49.825,15.25678951,0.349397592,4.296287703,0,0.1,0.8,5.2,21.6,7.79572032,0.178530739,0.515932032,0,0.01,0.18,0.77,2.2,1.382796977,0.031667602,12.84843456,0,1.4,4.7,13,61.7,18.46326604,0.422829501,4.627853146,0,0.1,2.3,7.3,21.6,5.776888205,0.132297219,20.30284564,0,0,8.5,37.8,75.9,24.96888143,0.57181539,1.514221373,0,0,1,2.2,7.2,2.239039434,0.051276514,0.189960783,0,0,0,0,0,1.748993132,0.040053904,90.54128975,0,1.8,21.6,148.5,448.425,137.3111056,3.144578326,38.66658933,0,0.9,7.2,46.8,194.4,70.16148288,1.606776652,51.39373823,0,5.6,18.8,52,246.8,73.85306415,1.691318003,18.51141258,0,0.4,9.2,29.2,86.4,23.10755282,0.529188877,81.21138256,0,0,34,151.2,303.6,99.87552572,2.28726156,2.791838406,0,0,1.4,4.4,14,4.333067968,0.099232116,1.329725484,0,0,0,0,0,12.24295192,0.280377331,194.3856488,0,41.15,131.8,320.4,581.08,186.8091056,4.278138044,0.465781761,0.198916893,0.2643906,0.095230346,0.417784868,0.014362369,0.006840657,0.487754887,1.590100385,0.684818961,1.499658861,0.645867917,0.010939423,0.093121838,0.008067824,0.028032271,0.016135649,0.21933543,0.151511008,0.033912211,0.017366334,0.061124026,0.008751538,0.067277451,0.003965541,0.217010803,0.004649255,0.050321346,0.008478053,0.05228416,0.023273324,0.032460134,0.014494732,0.299513287,0.312012589,0.041038738,0.042076038,0.045999978,0.011277343,0.125569678,3.236187652,0.791735063,2.677729309,0.774037358,0.077373404,30,10516,1392,10850,5300,5550,3023,6251,1576,36.00479263,3.38,3210.059172
E05000030,347.1794277,28,120,225,400,1003.75,559.7460632,16.47266917,99.31028632,11,33,70,113.6,340.8,87.51830397,5.593060328,9.689740006,0,0.2,2.8,15.5,46.5,14.09188486,0.326600017,3.799337434,0,0.1,0.9,4.8,21,6.516601429,0.151031757,0.56530109,0,0.02,0.23,0.8,2.2,1.380353369,0.031991706,11.90375035,0,1.4,4.3,13,59.9,17.71849392,0.410651979,5.34159631,0,0.4,3.2,8.275,22.8,6.268026277,0.145270665,19.89833659,0,0.4,10.4,30.2,73,23.5821813,0.5465515,1.618646911,0,0,1.1,2.3,7.7175,2.455100298,0.056900536,0.127026771,0,0,0,0,0,1.128563605,0.02615611,87.20766005,0,1.8,25.2,139.5,418.5,126.8269638,2.93940015,34.1940369,0,0.9,8.1,43.2,189,58.64941286,1.359285816,47.6150014,0,5.6,17.2,52,239.6,70.87397568,1.642607917,21.36638524,0,1.6,12.8,33.1,91.2,25.07210511,0.58108266,79.59334638,0,1.6,41.6,120.8,292,94.3287252,2.186205999,2.95851272,0,0,1.8,4.4,13.8,4.650613644,0.107784765,0.889187397,0,0,0,0,0,7.899945234,0.183092771,192.0150918,0,45.6,131.8,296.375,568.2,178.0436474,4.126421608,0.454170864,0.178079945,0.247975307,0.11127451,0.414516097,0.015407709,0.00463082,0.553071629,1.617781934,0.696740755,1.52496711,0.656767586,0.013102282,0.084812623,0.006903353,0.023668639,0.027613412,0.22837419,0.160890392,0.041701888,0.021837137,0.081854043,0.009439279,0.037897999,0.001549732,0.201606086,0.006058045,0.043815159,0.00887574,0.055457958,0.020040799,0.028044651,0.027072141,0.32496806,0.241065422,0.04905468,0.04838731,0.061008288,0.008500606,0.136400083,3.247584109,0.794523213,2.773208485,0.801637029,0.077344605,30,10539,1484,11348,5515,5833,2747,6961,1640,37.24744448,3.45,3289.275362
E05000031,427.1854566,32.5,170,300,500,1500,577.8920639,8.754061257,126.5655565,10,47.1,90,180,340.8,135.1464482,4.387018535,8.807199745,0,0.2,2.3,13.1,44.2,13.87765204,0.169155822,3.499752533,0,0.1,0.8,4.1,20.2575,6.297169557,0.076756708,0.630818322,0,0.03,0.2,0.8,2.5,1.739864525,0.021207349,10.43368029,0,1.1,3.8,11.2,59.5,16.37312701,0.199573368,5.180545286,0,0.4,3,7.9,23.5,6.30133515,0.076807483,18.93766919,0,0.3,7.9,30.2,74,23.5776032,0.28738931,1.512796813,0,0,1,2.2,6.8,2.263018102,0.02758411,0.225671009,0,0,0,0,1.76,2.010771367,0.024509455,79.2647977,0,1.8,20.7,117.9,397.8,124.8988684,1.522402396,31.4977728,0,0.9,7.2,36.9,182.3175,56.67452601,0.690810376,41.73472117,0,4.4,15.2,44.8,238,65.49250804,0.798293471,20.72218114,0,1.6,12,31.6,94,25.2053406,0.307229933,75.75067677,0,1.2,31.6,120.8,296,94.31041279,1.14955724,2.818473973,0,0,1.6,4.2,13.6,4.353014224,0.053059242,1.579697066,0,0,0,0,12.32,14.07539957,0.171566182,180.1358267,0,41.1,117.9,283.65,547.43,172.746081,2.105615936,0.440027945,0.174855682,0.231684734,0.115036423,0.420519772,0.015646382,0.008769477,0.421680616,1.633009067,0.703298724,1.559352821,0.671576706,0.012758178,0.095997511,0.011396787,0.03220662,0.020070792,0.253529892,0.149791902,0.058228636,0.023649306,0.061184799,0.016258898,0.033568011,0.002139329,0.173013342,0.005251079,0.039246956,0.011707962,0.049397571,0.028774948,0.032832813,0.020088113,0.370656841,0.215132598,0.066459485,0.055058771,0.052803212,0.014847907,0.093947741,3.292744852,0.805571813,2.769373792,0.800528554,0.147632039,30,38637,2586,12536,6241,6295,3800,7617,1119,32.66943204,1.45,8645.517241
E05000032,443.9870785,32.5,175,320,500,1660,629.4188523,10.72786568,117.1572691,10.475,47.1,75,175,340.8,114.9434685,4.11547081,8.686315396,0,0.2,1.9,12.5,46.91,14.37448184,0.195646342,3.313416992,0,0.1,0.5,3.6,19.9,6.259302161,0.085193302,0.566614109,0,0.01,0.2,0.8,2.3,1.677315602,0.022829391,9.690675491,0,1.1,3.6,10.6,58.3,15.55791924,0.211753719,5.062719514,0,0.4,2.7,7.8,22.7,6.225186432,0.084728964,18.56355128,0,0.3,7.9,28,73.4,23.33006197,0.317537796,1.542123053,0,0,1,2.2,7.2,2.293253047,0.031212713,0.21408502,0,0,0,0,2,1.730326363,0.023550903,78.17683857,0,1.8,17.1,112.5,422.19,129.3703366,1.760817077,29.82075293,0,0.9,4.5,32.4,179.1,56.33371945,0.766739717,38.76270196,0,4.4,14.4,42.4,233.2,62.23167695,0.847014875,20.25087806,0,1.6,10.8,31.2,90.8,24.90074573,0.338915855,74.25420512,0,1.2,31.6,112,293.6,93.32024789,1.270151183,2.839223685,0,0,1.6,4.2,13.6,4.383116992,0.059657163,1.498595137,0,0,0,0,14,12.11228454,0.164856319,177.0197406,0,41,110.4,274.25,553.82,174.9672341,2.381421444,0.4416278,0.168460042,0.218973894,0.114398982,0.4194685,0.016039023,0.008465695,0.398704713,1.636819906,0.704939963,1.558200903,0.671080602,0.014727255,0.094031586,0.013273908,0.030859413,0.025336692,0.268917741,0.153909505,0.045683558,0.025336692,0.058424571,0.01191745,0.042292414,0.001744017,0.155362852,0.004941382,0.040306172,0.012934793,0.051950624,0.0339232,0.030731617,0.020931296,0.387799754,0.225277706,0.046377977,0.054696064,0.049976344,0.012453579,0.08588184,3.292715812,0.805564708,2.706546008,0.782367252,0.141411234,30,31019,2526,12738,6416,6322,4486,7599,653,28.66800126,1.09,11686.23853
E05000033,429.4412326,30,170,325,500,1500,571.072135,13.46521409,116.5026742,10,47.1,100,175,340.8,102.325032,5.324799666,9.440805688,0,0.3,2.5,13.8,50.26,14.97056932,0.283358847,3.521045315,0,0.1,0.7,4.2,20,6.344072036,0.120078863,0.631404942,0,0.04,0.2,0.8,2.4,2.033818879,0.038495568,10.17426993,0,1.2,3.9,11.1,56.8,16.00003855,0.302844359,5.254386946,0,0.4,2.9,8,23.6,6.396392339,0.121069167,18.7926042,0,0.2,7.9,29.6,73,23.29079633,0.440841831,1.5842331,0,0,1,2.2,7.3,2.354013687,0.044556128,0.208972964,0,0,0,0,1.716,1.642481365,0.031088439,84.96725119,0,2.7,22.5,124.2,452.34,134.7351239,2.550229621,31.68940783,0,0.9,6.3,37.8,180,57.09664832,1.080709763,40.69707972,0,4.8,15.6,44.4,227.2,64.0001542,1.211377437,21.01754779,0,1.6,11.6,32,94.4,25.58556936,0.484276668,75.17041678,0,0.8,31.6,118.4,292,93.16318531,1.763367324,2.973799534,0,0,1.8,4.4,14.4,4.661381551,0.088229357,1.462810749,0,0,0,0,12.012,11.49736956,0.21761907,185.591826,0,41.4,122.7,285,591.6,177.9326129,3.367859894,0.457817852,0.170747864,0.219282716,0.113246085,0.405030859,0.016023332,0.007881871,0.432170486,1.646982924,0.709316937,1.550652325,0.667829606,0.010968407,0.101153089,0.010687166,0.035061404,0.023155526,0.256773226,0.150464048,0.052217118,0.019874379,0.062810537,0.01087466,0.038905034,0.004499859,0.176900722,0.00543733,0.029530327,0.010687166,0.056241507,0.029529457,0.033341898,0.019068309,0.36805758,0.233886663,0.055090448,0.050717334,0.047797968,0.010245087,0.09602375,3.262618982,0.798201503,2.727647578,0.788466973,0.074622822,30,16309,1511,12065,5791,6274,3523,7285,1257,33.87807708,1.28,9425.78125
E05000034,388.4463612,29,130,295,480,1500,576.3363406,17.68763036,118.1822506,11,48,100,150,528,113.3950434,7.580528079,9.194564819,0,0.2,2.5,14.6,44,13.98033141,0.341484141,3.498713243,0,0.1,0.9,4.2,18.8,5.959760425,0.145573349,0.542117412,0,0.01,0.2,0.8,2.2,1.495421458,0.036527225,11.77243627,0,1.4,4.6,12.3,59.5,17.36993041,0.424278623,5.0972644,0,0.4,3.2,7.7,23.3,6.134915339,0.14985169,20.68289396,0,1,10.9,37.8,77.7,24.27646601,0.592977941,1.507741034,0,0,1,2.2,7.4,2.245612618,0.054851425,0.229785209,0,0,0,0,2,1.756097178,0.042894501,82.75108337,0,1.8,22.5,131.4,396,125.8229827,3.073357267,31.48841919,0,0.9,8.1,37.8,169.2,53.63784382,1.310160144,47.08974507,0,5.6,18.4,49.2,238,69.47972165,1.697114493,20.3890576,0,1.6,12.8,30.8,93.2,24.53966135,0.599406761,82.73157584,0,4,43.6,151.2,310.8,97.10586405,2.371911765,2.8020059,0,0,1.4,4.2,14.8,4.467338274,0.109119385,1.608496462,0,0,0,0,14,12.29268024,0.300261505,190.2822192,0,44.5,129.1,296.5,550.4,178.0180608,4.348276357,0.434886054,0.16548272,0.247473176,0.10715167,0.434783535,0.014725527,0.008453215,0.489854554,1.597091337,0.6878298,1.537969823,0.66236755,0.014372754,0.100921731,0.010154663,0.022340259,0.020934229,0.219028277,0.169036088,0.038743946,0.017497266,0.071863771,0.007655054,0.04249336,0.003280737,0.198406499,0.002812061,0.05030464,0.010154663,0.067118395,0.031244474,0.027287095,0.023458153,0.327455951,0.25687167,0.045271425,0.051451015,0.051763205,0.007864528,0.110214088,3.244116819,0.793674938,2.766832584,0.79979398,0.04786665,30,9790,1128,11629,5650,5979,3391,6873,1365,34.45678906,2,5814.5
E05000035,415.8015895,35,170,300,500,1500,527.0661475,6.961910411,123.7553734,10,48,99,198,340.8,115.2443442,3.36319123,9.871356616,0,0.2,2.4,14.2,60.6825,16.09553994,0.172102319,4.09126049,0,0.1,0.8,4.3,21.7,8.041926069,0.085988673,0.616372961,0,0.03,0.2,0.8,2.4,1.665705416,0.017810634,10.8288801,0,1.1,4,11.8,58.3,16.55670782,0.177033378,4.945599964,0,0.4,2.6,7.5,23.6,6.166636808,0.065937054,19.10502083,0,0.2,7.9,31,74,23.82678093,0.254768977,1.545277364,0,0,1,2.2,7.2,2.365358196,0.025291704,0.186552318,0,0,0,0,0,1.647557127,0.017616582,88.84220954,0,1.8,21.6,127.8,546.1425,144.8598595,1.548920869,36.82134441,0,0.9,7.2,38.7,195.3,72.37733462,0.773898059,43.31552039,0,4.4,16,47.2,233.2,66.22683127,0.708133512,19.78239986,0,1.6,10.4,30,94.4,24.66654723,0.263748218,76.42008333,0,0.8,31.6,124,296,95.3071237,1.019075908,2.870782096,0,0,1.6,4.4,14.2,4.570165219,0.048866707,1.305866228,0,0,0,0,0,11.53289989,0.123316075,189.2213411,0,41.5,118.5,296.1,630,184.8861348,1.976903703,0.469514744,0.194594036,0.228914562,0.104546346,0.403866091,0.015171556,0.006901263,0.455076041,1.626492344,0.700492125,1.522211402,0.655580767,0.008749403,0.097915671,0.010809842,0.042104634,0.022097468,0.253374343,0.151188485,0.045568562,0.020156474,0.052227664,0.015916149,0.038730291,0.001642379,0.185768036,0.006748686,0.034191352,0.012810559,0.054595686,0.027214587,0.039986079,0.022650282,0.377339762,0.215161199,0.046050194,0.049150694,0.046389388,0.016055311,0.105406819,3.264324939,0.798618866,2.748973395,0.794631517,0.208252536,30,49492,3134,12381,6159,6222,3234,7822,1325,34.27073742,1.63,7595.705521
